geoName;coordinates;cansancio;pérdida de apetito;Pérdida de libido;Ataque de pánico;culpa;Fecha
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;20/11/2019
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;21/11/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;21/11/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};100;0;0;0;0;22/11/2019
Alcañiz;{'lat': 41.0510353, 'lng': -0.1335373};0;0;0;0;0;23/11/2019
Alcañiz;{'lat': 41.0510353, 'lng': -0.1335373};0;0;0;0;0;24/11/2019
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;24/11/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;24/11/2019
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;25/11/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;25/11/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;26/11/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;27/11/2019
Calatayud;{'lat': 41.3531678, 'lng': -1.6468455};0;0;0;0;0;01/12/2019
Calatayud;{'lat': 41.3531678, 'lng': -1.6468455};0;0;0;0;0;02/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;02/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;03/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;04/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;05/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;06/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;07/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;08/12/2019
Alagón;{'lat': 41.7689166, 'lng': -1.1173154};0;0;0;0;0;09/12/2019
Tauste;{'lat': 41.9202247, 'lng': -1.2578169};0;0;0;0;0;09/12/2019
Alagón;{'lat': 41.7689166, 'lng': -1.1173154};0;0;0;0;0;10/12/2019
Tauste;{'lat': 41.9202247, 'lng': -1.2578169};0;0;0;0;0;10/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;10/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};42;0;0;0;58;11/12/2019
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;12/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;12/12/2019
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;13/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;13/12/2019
Calatayud;{'lat': 41.3531678, 'lng': -1.6468455};0;0;0;0;100;14/12/2019
Calatayud;{'lat': 41.3531678, 'lng': -1.6468455};0;0;0;0;0;15/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;15/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;16/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;17/12/2019
Tauste;{'lat': 41.9202247, 'lng': -1.2578169};0;0;0;0;0;18/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;18/12/2019
Tauste;{'lat': 41.9202247, 'lng': -1.2578169};0;0;0;0;0;19/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;19/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;24/12/2019
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;25/12/2019
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;26/12/2019
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;27/12/2019
Jaca;{'lat': 42.5717166, 'lng': -0.5470554};0;0;0;0;0;02/01/2020
Jaca;{'lat': 42.5717166, 'lng': -0.5470554};0;0;0;0;0;03/01/2020
Calatayud;{'lat': 41.3531678, 'lng': -1.6468455};0;0;0;0;0;04/01/2020
Ejea de los Caballeros;{'lat': 42.1257236, 'lng': -1.1365014};0;0;0;0;0;04/01/2020
Calatayud;{'lat': 41.3531678, 'lng': -1.6468455};0;0;0;0;0;05/01/2020
Ejea de los Caballeros;{'lat': 42.1257236, 'lng': -1.1365014};0;0;0;0;0;05/01/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;07/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;07/01/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;100;08/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;08/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;09/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;10/01/2020
Alcañiz;{'lat': 41.0510353, 'lng': -0.1335373};0;0;0;0;0;12/01/2020
Alagón;{'lat': 41.7689166, 'lng': -1.1173154};0;0;0;0;0;13/01/2020
Alcañiz;{'lat': 41.0510353, 'lng': -0.1335373};0;0;0;0;0;13/01/2020
Barbastro;{'lat': 42.0360435, 'lng': 0.1284404};0;0;0;0;0;13/01/2020
Alagón;{'lat': 41.7689166, 'lng': -1.1173154};0;0;0;0;0;14/01/2020
Barbastro;{'lat': 42.0360435, 'lng': 0.1284404};0;0;0;0;0;14/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;14/01/2020
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;15/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;15/01/2020
María de Huerva;{'lat': 41.540099, 'lng': -0.9946155};0;0;0;0;0;16/01/2020
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;100;16/01/2020
María de Huerva;{'lat': 41.540099, 'lng': -0.9946155};0;0;0;0;0;17/01/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;17/01/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;18/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;19/01/2020
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;20/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;20/01/2020
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;21/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;21/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;22/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;26/01/2020
Andorra;{'lat': 40.9774233, 'lng': -0.4485077};0;0;0;0;0;27/01/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;27/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;27/01/2020
Andorra;{'lat': 40.9774233, 'lng': -0.4485077};0;0;0;0;0;28/01/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;28/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;28/01/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;29/01/2020
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;29/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;29/01/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;30/01/2020
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;30/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;30/01/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;01/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;02/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;03/02/2020
Barbastro;{'lat': 42.0360435, 'lng': 0.1284404};0;0;0;0;0;04/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;04/02/2020
Barbastro;{'lat': 42.0360435, 'lng': 0.1284404};0;0;0;0;0;05/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;05/02/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;06/02/2020
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;06/02/2020
Alcañiz;{'lat': 41.0510353, 'lng': -0.1335373};0;0;0;0;0;07/02/2020
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;07/02/2020
